Nome arquivo,Casos de Teste, Variáveis, Cláusulas, Tempo Real, Tempo User, Tempo Sys
uf125-01,2062434,125,538,300.65,171.41,359.18
uf200-01,1215206,200,860,177.67,129.35,206.39
uf20-077,116,20,91,0.01,0,0.02
flat175-44,594166,525,1951,93.19,87.74,109.42
flat125-77,823697,375,1403,121.71,94.72,141.32
flat175-34,568693,525,1951,89.24,84.07,105.41
uf20-0115,84,20,91,0.01,0,0.01
simples,3,2,3,0,0,0
prova,2539,50,268,0.35,0.16,0.42
flat75-33,1374335,225,840,195.34,118.09,230.8
uf20-0819,77,20,91,0.01,0.01,0.01
uf20-01,10,20,91,0,0,0
flat30-97,3679939,90,300,507.36,221.84,632.8
pombos-10,2844584,110,561,391.71,196.04,478.45
uf20-0216,42,20,91,0,0,0.01
uf50-01,480481,50,218,65.63,29.78,81.48
uf20-012,146,20,91,0.02,0,0.02
uf75-01,2129068,75,325,299.09,139.6,350.34
uf20-095,24,20,91,0,0,0
uf225-01,1112791,225,960,161.6,125.84,186.24
uf175-01,1457154,175,753,210.33,142.49,246.76
uf20-0123,121,20,91,0.01,0.01,0.01
uf20-018,1290,20,91,0.18,0.06,0.25
flat75-90,1401674,225,840,199.1,120.48,235.16
bmc-ibm-3,13467,14930,72106,65.31,249.02,243.38
uf100-01,2451602,100,430,343.91,186.73,413.4
uf20-0846,7,20,91,0,0,0
bmc-ibm-1,21731,9685,55870,62.6,273.12,211.11
uf250-01,985382,250,1065,146.38,119.26,168.33
bmc-ibm-2,94940,2810,11683,62.45,227.51,155.28
uf20-0462,1621,20,91,0.22,0.05,0.32
flat125-55,852061,375,1403,126.99,98.6,147.25
flat30-36,231772,90,300,31.99,13.71,40.53
uf150-01,1719560,150,645,246.47,155.3,290.74
