Nome arquivo,Casos de Teste, Variáveis, Cláusulas, Tempo Real, Tempo User, Tempo Sys
uf125-01,2062434,125,538,96.05,97.81,90.52
uf200-01,1215206,200,860,79.23,113.35,71.53
uf20-077,116,20,91,0,0,0
flat175-44,594166,525,1951,63.51,101.72,46.99
flat125-77,823697,375,1403,84.42,124.95,68.29
flat175-34,568693,525,1951,64.45,102.98,48.81
uf20-0115,84,20,91,0,0,0
simples,3,2,3,0,0,0
prova,2539,50,268,0.1,0.05,0.13
flat75-33,1374335,225,840,77.31,92.73,67.71
uf20-0819,77,20,91,0,0,0
uf20-01,10,20,91,0,0,0
flat30-97,3679939,90,300,140.72,94.69,154.88
pombos-10,2844584,110,561,114.49,98.56,118.37
uf20-0216,42,20,91,0,0,0
uf50-01,480481,50,218,18.02,11.62,19.9
uf20-012,146,20,91,0,0,0.01
uf75-01,2129068,75,325,84.15,65.48,87.52
uf20-095,24,20,91,0,0,0
uf225-01,1112791,225,960,80.18,120.5,72.85
uf175-01,1457154,175,753,83.37,107.94,73.64
uf20-0123,121,20,91,0,0,0
uf20-018,1290,20,91,0.04,0,0.07
flat75-90,1401674,225,840,76.17,88.37,67.72
bmc-ibm-3,13467,14930,72106,55.78,124.86,41.19
uf100-01,2451602,100,430,104.82,91.9,101.52
uf20-0846,7,20,91,0,0,0
bmc-ibm-1,21731,9685,55870,53.32,131.34,33.59
uf250-01,985382,250,1065,124.76,198.86,114.02
bmc-ibm-2,94940,2810,11683,49.98,115.17,31.33
uf20-0462,1621,20,91,0.05,0.02,0.07
flat125-55,852061,375,1403,80.72,119.14,64.47
flat30-36,231772,90,300,8.94,5.77,10.11
uf150-01,1719560,150,645,87.36,100.04,80.82
