Nome arquivo,Casos de Teste, Variáveis, Cláusulas, Tempo Real, Tempo User, Tempo Sys
uf125-01,2062434,125,538,213.91,231.1,121.93
uf200-01,1215206,200,860,89.53,111.23,38.29
uf20-077,116,20,91,0,0,0
flat175-44,594166,525,1951,57.25,75.73,18.09
flat125-77,823697,375,1403,60.95,76.33,23.54
flat175-34,568693,525,1951,56.22,74.61,17.56
uf20-0115,84,20,91,0,0,0
simples,3,2,3,0,0,0
prova,2539,50,268,0.07,0.04,0.07
flat75-33,1374335,225,840,102.02,114.36,52.17
uf20-0819,77,20,91,0,0,0
uf20-01,10,20,91,0,0,0
flat30-97,3679939,90,300,101.39,76.27,83.04
pombos-10,2844584,110,561,96.7,93.99,64.62
uf20-0216,42,20,91,0,0,0
uf50-01,480481,50,218,12.8,9.58,10.77
uf20-012,146,20,91,0,0,0
uf75-01,2129068,75,325,69.67,62.39,49.95
uf20-095,24,20,91,0,0,0
uf225-01,1112791,225,960,76.82,98.31,31.21
uf175-01,1457154,175,753,104.98,124.49,49.62
uf20-0123,121,20,91,0,0,0
uf20-018,1290,20,91,0.02,0.01,0.02
flat75-90,1401674,225,840,103.74,115.24,54.12
bmc-ibm-3,13467,14930,72106,50.48,78.53,7.38
uf100-01,2451602,100,430,95.4,97.36,59.32
uf20-0846,7,20,91,0,0,0
bmc-ibm-1,21731,9685,55870,50.83,82.91,5.84
uf250-01,985382,250,1065,74.54,97.3,27.93
bmc-ibm-2,94940,2810,11683,48.54,76.88,7.5
uf20-0462,1621,20,91,0.03,0.01,0.04
flat125-55,852061,375,1403,60.78,76.05,23.44
flat30-36,231772,90,300,6.35,4.73,5.29
uf150-01,1719560,150,645,174.51,197.75,92.99
