Nome arquivo,Casos de Teste, Variáveis, Cláusulas, Tempo Real, Tempo User, Tempo Sys
uf125-01,2062434,125,538,201.39,135.37,233.1
uf200-01,1215206,200,860,123.43,106.74,135.73
uf20-077,116,20,91,0.01,0,0.01
flat175-44,594166,525,1951,68.32,78.39,73.82
flat125-77,823697,375,1403,90.31,84.13,97.61
flat175-34,568693,525,1951,68.71,78.61,74.13
uf20-0115,84,20,91,0,0,0
simples,3,2,3,0,0,0
prova,2539,50,268,0.26,0.14,0.31
flat75-33,1374335,225,840,144.55,101.01,166.72
uf20-0819,77,20,91,0,0,0.01
uf20-01,10,20,91,0,0,0
flat30-97,3679939,90,300,352.8,164.18,430.42
pombos-10,2844584,110,561,260.19,150.23,317.23
uf20-0216,42,20,91,0,0,0
uf50-01,480481,50,218,44.53,20.4,54.23
uf20-012,146,20,91,0.01,0.01,0.01
uf75-01,2129068,75,325,200.3,108.37,240.24
uf20-095,24,20,91,0.01,0,0
uf225-01,1112791,225,960,129.52,114.94,139.29
uf175-01,1457154,175,753,166.55,129.21,186.91
uf20-0123,121,20,91,0.01,0.01,0
uf20-018,1290,20,91,0.12,0.04,0.16
flat75-90,1401674,225,840,150.75,102.73,174.78
bmc-ibm-3,13467,14930,72106,59.79,193.34,113.92
uf100-01,2451602,100,430,254.29,155.82,297.97
uf20-0846,7,20,91,0.02,0,0
bmc-ibm-1,21731,9685,55870,64.3,225.15,104.07
uf250-01,985382,250,1065,109.15,108.32,119.25
bmc-ibm-2,94940,2810,11683,67.32,211.18,102.57
uf20-0462,1621,20,91,0.13,0.05,0.17
flat125-55,852061,375,1403,94.23,86.91,99.98
flat30-36,231772,90,300,20.76,9.94,26.07
uf150-01,1719560,150,645,169.09,123.65,192.94
