Nome arquivo,Casos de Teste, Variáveis, Cláusulas, Tempo Real, Tempo User, Tempo Sys
uf125-01,2062434,125,538,39.29,39.29,0
uf200-01,1215206,200,860,37.68,37.68,0
uf20-077,116,20,91,0,0,0
flat175-44,594166,525,1951,27.86,27.86,0
flat125-77,823697,375,1403,27.61,27.61,0
flat175-34,568693,525,1951,26.72,26.72,0
uf20-0115,84,20,91,0,0,0
simples,3,2,3,0,0,0
prova,2539,50,268,0.02,0.02,0
flat75-33,1374335,225,840,27.7,27.7,0
uf20-0819,77,20,91,0,0,0
uf20-01,10,20,91,0,0,0
flat30-97,3679939,90,300,27.81,27.8,0
pombos-10,2844584,110,561,34.82,34.81,0
uf20-0216,42,20,91,0,0,0
uf50-01,480481,50,218,3.63,3.63,0
uf20-012,146,20,91,0,0,0
uf75-01,2129068,75,325,24.34,24.34,0
uf20-095,24,20,91,0,0,0
uf225-01,1112791,225,960,38.23,38.22,0
uf175-01,1457154,175,753,39.32,39.32,0
uf20-0123,121,20,91,0,0,0
uf20-018,1290,20,91,0,0,0
flat75-90,1401674,225,840,28.39,28.39,0
bmc-ibm-3,13467,14930,72106,33.15,33.15,0
uf100-01,2451602,100,430,37.31,37.31,0
uf20-0846,7,20,91,0,0,0
bmc-ibm-1,21731,9685,55870,37.14,37.13,0
uf250-01,985382,250,1065,38.25,38.25,0
bmc-ibm-2,94940,2810,11683,34.21,34.21,0
uf20-0462,1621,20,91,0,0,0
flat125-55,852061,375,1403,28.78,28.77,0
flat30-36,231772,90,300,1.75,1.75,0
uf150-01,1719560,150,645,39.66,39.65,0
