Nome arquivo,Casos de Teste,Variáveis,Cláusulas,Tempo Real,Tempo User,Tempo Sys
simples,3,2,3,0,0,0
uf20-0846,7,20,91,0,0,0
uf20-01,10,20,91,0,0,0
uf20-095,24,20,91,0,0,0
uf20-0216,42,20,91,0,0,0
uf20-0819,77,20,91,0,0,0
uf20-0115,84,20,91,0,0,0
uf20-077,116,20,91,0,0,0
uf20-0123,121,20,91,0,0,0
uf20-012,146,20,91,0,0,0
uf20-018,1290,20,91,0,0,0
uf20-0462,1621,20,91,0,0,0
prova,2539,50,268,0.03,0.03,0
bmc-ibm-3,13467,14930,72106,50.34,49.09,0.61
bmc-ibm-1,21731,9685,55870,47.61,46.8,0.45
bmc-ibm-2,94940,2810,11683,42.96,42.44,0.43
flat30-36,231772,90,300,2.35,2.33,0.01
uf50-01,480481,50,218,5,4.97,0.03
flat175-34,568693,525,1951,37.73,36.76,0.47
flat175-44,594166,525,1951,39.71,38.34,0.99
flat125-77,823697,375,1403,37.8,36.83,0.38
flat125-55,852061,375,1403,40.53,39.23,0.57
uf250-01,985382,250,1065,49.21,48.32,0.46
uf225-01,1112791,225,960,49.32,48.86,0.33
uf200-01,1215206,200,860,50.55,49.66,0.43
flat75-33,1374335,225,840,39.54,38.65,0.51
flat75-90,1401674,225,840,40.16,38.98,0.51
uf175-01,1457154,175,753,51.21,50.4,0.49
uf150-01,1719560,150,645,51.11,50.47,0.36
uf125-01,2062434,125,538,53.24,52.43,0.47
uf75-01,2129068,75,325,33.8,33.13,0.33
uf100-01,2451602,100,430,50.63,49.72,0.54
pombos-10,2844584,110,561,45.2,44.38,0.41
flat30-97,3679939,90,300,38.69,38.05,0.43
