Nome arquivo,Casos de Teste, Variáveis, Cláusulas, Tempo Real, Tempo User, Tempo Sys
uf125-01,2062434,125,538,20.79,20.21,0.58
uf200-01,1215206,200,860,18.44,18.06,0.37
uf20-077,116,20,91,0,0,0
flat175-44,594166,525,1951,12.76,12.57,0.18
flat125-77,823697,375,1403,13.14,12.94,0.2
flat175-34,568693,525,1951,12.25,12.07,0.17
uf20-0115,84,20,91,0,0,0
simples,3,2,3,0,0,0
prova,2539,50,268,0.01,0.01,0
flat75-33,1374335,225,840,14.87,14.48,0.39
uf20-0819,77,20,91,0,0,0
uf20-01,10,20,91,0,0,0
flat30-97,3679939,90,300,18.38,17.22,1.15
pombos-10,2844584,110,561,16.23,15.46,0.77
uf20-0216,42,20,91,0,0,0
uf50-01,480481,50,218,2.66,2.51,0.14
uf20-012,146,20,91,0,0,0
uf75-01,2129068,75,325,15.63,15.05,0.57
uf20-095,24,20,91,0,0,0
uf225-01,1112791,225,960,17.4,17.06,0.33
uf175-01,1457154,175,753,19.16,18.76,0.4
uf20-0123,121,20,91,0,0,0
uf20-018,1290,20,91,0,0,0
flat75-90,1401674,225,840,14.78,14.42,0.36
bmc-ibm-3,13467,14930,72106,16.72,16.67,0.04
uf100-01,2451602,100,430,21.65,20.96,0.69
uf20-0846,7,20,91,0,0,0
bmc-ibm-1,21731,9685,55870,13.15,13.1,0.04
uf250-01,985382,250,1065,17.1,16.84,0.25
bmc-ibm-2,94940,2810,11683,11.15,11.09,0.05
uf20-0462,1621,20,91,0,0,0
flat125-55,852061,375,1403,13.8,13.51,0.28
flat30-36,231772,90,300,1.16,1.09,0.07
uf150-01,1719560,150,645,18.98,18.45,0.52
