Nome arquivo,Casos de Teste, Variáveis, Cláusulas, Tempo Real, Tempo User, Tempo Sys
uf125-01,2062434,125,538,56.99,56.99,0
uf200-01,1215206,200,860,55.81,55.8,0
uf20-077,116,20,91,0,0,0
flat175-44,594166,525,1951,38.7,38.7,0
flat125-77,823697,375,1403,38.46,38.46,0
flat175-34,568693,525,1951,37.07,37.07,0
uf20-0115,84,20,91,0,0,0
simples,3,2,3,0,0,0
prova,2539,50,268,0.03,0.03,0
flat75-33,1374335,225,840,39,39,0
uf20-0819,77,20,91,0,0,0
uf20-01,10,20,91,0,0,0
flat30-97,3679939,90,300,37.93,37.93,0
pombos-10,2844584,110,561,49.05,49.04,0.01
uf20-0216,42,20,91,0,0,0
uf50-01,480481,50,218,5.17,5.17,0
uf20-012,146,20,91,0,0,0
uf75-01,2129068,75,325,34.87,34.87,0
uf20-095,24,20,91,0,0,0
uf225-01,1112791,225,960,56.48,56.48,0
uf175-01,1457154,175,753,57.74,57.74,0
uf20-0123,121,20,91,0,0,0
uf20-018,1290,20,91,0,0,0
flat75-90,1401674,225,840,39.66,39.66,0
bmc-ibm-3,13467,14930,72106,46.97,46.94,0.02
uf100-01,2451602,100,430,54.08,54.07,0
uf20-0846,7,20,91,0,0,0
bmc-ibm-1,21731,9685,55870,53.55,53.54,0
uf250-01,985382,250,1065,56.26,56.26,0
bmc-ibm-2,94940,2810,11683,45.27,45.27,0
uf20-0462,1621,20,91,0,0,0
flat125-55,852061,375,1403,40.09,40.09,0
flat30-36,231772,90,300,2.39,2.39,0
uf150-01,1719560,150,645,57.34,57.33,0
