Nome arquivo,Casos de Teste,Variáveis,Cláusulas,Tempo Real,Tempo User,Tempo Sys
simples,3,2,3,0,0,0
uf20-0846,7,20,91,0,0,0
uf20-01,10,20,91,0,0,0
uf20-095,24,20,91,0,0,0
uf20-0216,42,20,91,0,0,0
uf20-0819,77,20,91,0,0.01,0
uf20-0115,84,20,91,0,0,0
uf20-077,116,20,91,0.01,0,0.02
uf20-0123,121,20,91,0.01,0.01,0
uf20-012,146,20,91,0.01,0.01,0.01
uf20-018,1290,20,91,0.12,0.03,0.16
uf20-0462,1621,20,91,0.16,0.05,0.21
prova,2539,50,268,0.27,0.08,0.33
bmc-ibm-3,13467,14930,72106,15.45,14.03,2.4
bmc-ibm-1,21731,9685,55870,14.52,16.91,5.39
bmc-ibm-2,94940,2810,11683,19.92,16.66,13.92
flat30-36,231772,90,300,23.81,8.33,28.71
uf50-01,480481,50,218,48.78,18.96,58.23
flat175-34,568693,525,1951,68.22,30.95,68.91
flat175-44,594166,525,1951,70.06,31.06,68.26
flat125-77,823697,375,1403,92.83,39.8,97.69
flat125-55,852061,375,1403,97.75,41.41,106.05
uf250-01,985382,250,1065,102.72,47.99,109.7
uf225-01,1112791,225,960,125.06,56.01,135.38
uf200-01,1215206,200,860,133.55,58.34,137.04
flat75-33,1374335,225,840,148.84,59.35,166.21
flat75-90,1401674,225,840,149.47,57.89,161.7
uf175-01,1457154,175,753,155.83,66.39,161.67
uf150-01,1719560,150,645,189.12,79.21,213.51
uf125-01,2062434,125,538,217.76,87.86,237.13
uf75-01,2129068,75,325,216.41,83.5,236.69
uf100-01,2451602,100,430,239.75,100.01,277.04
pombos-10,2844584,110,561,289.61,108.87,341.67
flat30-97,3679939,90,300,372.54,122.37,418.3
