Nome arquivo,Casos de Teste, Variáveis, Cláusulas, Tempo Real, Tempo User, Tempo Sys
uf125-01,2062434,125,538,160.18,72.27,166.83
uf200-01,1215206,200,860,108,51.72,109.59
uf20-077,116,20,91,0.01,0,0.01
flat175-44,594166,525,1951,56.48,27.55,52.11
flat125-77,823697,375,1403,73.86,34.68,73.81
flat175-34,568693,525,1951,53.62,27,50.26
uf20-0115,84,20,91,0,0,0.01
simples,3,2,3,0,0,0
prova,2539,50,268,0.19,0.08,0.22
flat75-33,1374335,225,840,115.46,48.24,117.57
uf20-0819,77,20,91,0,0,0
uf20-01,10,20,91,0,0,0
flat30-97,3679939,90,300,284.46,105.94,323.82
pombos-10,2844584,110,561,225.04,88.14,252.35
uf20-0216,42,20,91,0,0,0
uf50-01,480481,50,218,38.13,15.32,43.18
uf20-012,146,20,91,0.01,0,0
uf75-01,2129068,75,325,171.72,71.35,192.12
uf20-095,24,20,91,0,0,0
uf225-01,1112791,225,960,98.71,47.29,100.08
uf175-01,1457154,175,753,126.7,58.57,132.29
uf20-0123,121,20,91,0.01,0,0.01
uf20-018,1290,20,91,0.1,0.03,0.12
flat75-90,1401674,225,840,118.58,50.58,127.04
bmc-ibm-3,13467,14930,72106,15.26,14.18,1.85
uf100-01,2451602,100,430,201.81,87.18,220.94
uf20-0846,7,20,91,0,0,0
bmc-ibm-1,21731,9685,55870,13.72,12.47,2.47
uf250-01,985382,250,1065,88.59,43.47,88.09
bmc-ibm-2,94940,2810,11683,18.97,14.31,9.11
uf20-0462,1621,20,91,0.12,0.04,0.14
flat125-55,852061,375,1403,76.58,34.22,71.38
flat30-36,231772,90,300,17.65,6.56,20.34
uf150-01,1719560,150,645,141.49,61.57,145.98
