Nome arquivo,Casos de Teste, Variáveis, Cláusulas, Tempo Real, Tempo User, Tempo Sys
uf125-01,2062434,125,538,317.74,128.84,391.02
uf200-01,1215206,200,860,187.86,83.11,234.29
uf20-077,116,20,91,0.01,0.01,0.01
flat175-44,594166,525,1951,97.2,45.79,118.66
flat125-77,823697,375,1403,127.78,56.5,161.96
flat175-34,568693,525,1951,92.37,43.13,113.15
uf20-0115,84,20,91,0.01,0.01,0.01
simples,3,2,3,0,0,0
prova,2539,50,268,0.37,0.14,0.49
flat75-33,1374335,225,840,208.09,86.47,270.23
uf20-0819,77,20,91,0.01,0,0.02
uf20-01,10,20,91,0,0,0
flat30-97,3679939,90,300,547.23,190.8,697.88
pombos-10,2844584,110,561,437.95,147.12,538.91
uf20-0216,42,20,91,0,0,0.01
uf50-01,480481,50,218,76.39,27.12,90.82
uf20-012,146,20,91,0.02,0.01,0.02
uf75-01,2129068,75,325,342.23,125.04,405.05
uf20-095,24,20,91,0,0,0
uf225-01,1112791,225,960,187.23,75.18,210.48
uf175-01,1457154,175,753,241.04,96.51,276.78
uf20-0123,121,20,91,0.02,0.01,0.02
uf20-018,1290,20,91,0.19,0.05,0.24
flat75-90,1401674,225,840,224.27,81.79,265.26
bmc-ibm-3,13467,14930,72106,15.85,17.54,4.42
uf100-01,2451602,100,430,367.86,145.83,456.92
uf20-0846,7,20,91,0,0,0
bmc-ibm-1,21731,9685,55870,15.46,14.4,5.05
uf250-01,985382,250,1065,159.24,67.04,181.5
bmc-ibm-2,94940,2810,11683,24.91,15.81,18.31
uf20-0462,1621,20,91,0.23,0.08,0.31
flat125-55,852061,375,1403,146.83,55.56,162.04
flat30-36,231772,90,300,34.52,11.89,43.71
uf150-01,1719560,150,645,292.69,110.63,341.46
