Nome arquivo,Casos de Teste,Variáveis,Cláusulas,Tempo Real,Tempo User,Tempo Sys
simples,3,2,3,0,0,0
uf20-0846,7,20,91,0,0,0
uf20-01,10,20,91,0,0,0
uf20-095,24,20,91,0,0,0
uf20-0216,42,20,91,0,0,0
uf20-0819,77,20,91,0,0,0
uf20-0115,84,20,91,0,0,0
uf20-077,116,20,91,0,0,0
uf20-0123,121,20,91,0,0,0
uf20-012,146,20,91,0,0,0
uf20-018,1290,20,91,0.03,0.01,0.03
uf20-0462,1621,20,91,0.04,0.01,0.04
prova,2539,50,268,0.07,0.03,0.06
bmc-ibm-3,13467,14930,72106,14.4,13.95,1.14
bmc-ibm-1,21731,9685,55870,13.47,12.74,1.4
bmc-ibm-2,94940,2810,11683,14.54,13.17,3.15
flat30-36,231772,90,300,06.02,03.01,5.11
uf50-01,480481,50,218,13.2,6.96,11.2
flat175-34,568693,525,1951,24.76,17.02,13.15
flat175-44,594166,525,1951,26.93,18.1,14.5
flat125-77,823697,375,1403,31.19,19.7,19.02
flat125-55,852061,375,1403,32.52,21.33,19.41
uf250-01,985382,250,1065,39.53,26.32,23.21
uf225-01,1112791,225,960,41.55,27.45,25.46
uf200-01,1215206,200,860,47.83,30.29,29.71
flat75-33,1374335,225,840,44.42,26.58,30.43
flat75-90,1401674,225,840,45.17,26.44,32.02
uf175-01,1457154,175,753,50.36,32.35,33.88
uf150-01,1719560,150,645,56.03,34.18,40.31
uf125-01,2062434,125,538,69.83,39.76,48.7
uf75-01,2129068,75,325,62.39,34.52,48.02
uf100-01,2451602,100,430,77.78,45.49,58.07
pombos-10,2844584,110,561,77.76,39.94,65.15
flat30-97,3679939,90,300,96.52,45.07,80.36
